cantidadElementos, cantidadProcesadores,productoEscalar,microsegundosEjec,segundosEjec
1000,3,6549742,67.000000,0.000069
1000,3,6549742,68.000000,0.000069
1000,3,6549742,179.000000,0.000180
5000,3,795116842,88.000000,0.000088
5000,3,795116842,135.000000,0.000137
5000,3,795116842,45.000000,0.000045
10000,3,6196122242,37.000000,0.000036
10000,3,6196122242,36.000000,0.000037
10000,3,6196122242,71.000000,0.000071
50000,3,769647937046,518.000000,0.000519
50000,3,769647937046,574.000000,0.000575
50000,3,769647937046,105.000000,0.000105
100000,3,6170859379946,1011.000000,0.001012
100000,3,6170859379946,1039.000000,0.001040
100000,3,6170859379946,1017.000000,0.001019
200000,3,5736010661726,369.000000,0.000370
200000,3,5736010661726,1918.000000,0.001919
200000,3,5736010661726,375.000000,0.000375
300000,3,9056046902608,538.000000,0.000539
300000,3,9056046902608,2801.000000,0.002802
300000,3,9056046902608,2468.000000,0.002468
400000,3,7447901862170,3721.000000,0.003721
400000,3,7447901862170,3662.000000,0.003662
400000,3,7447901862170,735.000000,0.000735
500000,3,10439815946350,4593.000000,0.004594
500000,3,10439815946350,4090.000000,0.004092
500000,3,10439815946350,4620.000000,0.004619
1000000,3,8130764493690,9566.000000,0.009566
1000000,3,8130764493690,8041.000000,0.008042
1000000,3,8130764493690,9046.000000,0.009047
10000000,3,8405206851354,22585.000000,0.022587
10000000,3,8405206851354,51545.000000,0.051547
10000000,3,8405206851354,48020.000000,0.048022
