cantidadElementos, cantidadProcesadores,productoEscalar,microsegundosEjec,segundosEjec
1000,4,2741368,86.000000,0.000087
1000,4,2741368,55.000000,0.000055
1000,4,2741368,91.000000,0.000091
5000,4,325282868,106.000000,0.000106
5000,4,325282868,135.000000,0.000135
5000,4,325282868,201.000000,0.000202
10000,4,2602756618,82.000000,0.000083
10000,4,2602756618,89.000000,0.000090
10000,4,2602756618,188.000000,0.000190
50000,4,325481921618,80.000000,0.000080
50000,4,325481921618,414.000000,0.000415
50000,4,325481921618,382.000000,0.000383
100000,4,2604010565368,803.000000,0.000805
100000,4,2604010565368,148.000000,0.000148
100000,4,2604010565368,804.000000,0.000804
200000,4,12977213293484,1263.000000,0.001264
200000,4,12977213293484,1513.000000,0.001513
200000,4,12977213293484,1266.000000,0.001266
300000,4,8768507505984,1243.000000,0.001244
300000,4,8768507505984,1968.000000,0.001968
300000,4,8768507505984,1882.000000,0.001882
400000,4,9056046908852,1729.000000,0.001730
400000,4,9056046908852,1760.000000,0.001760
400000,4,9056046908852,1731.000000,0.001731
500000,4,9488938608392,701.000000,0.000701
500000,4,9488938608392,687.000000,0.000687
500000,4,9488938608392,3119.000000,0.003119
1000000,4,9668672446668,1370.000000,0.001370
1000000,4,9668672446668,6093.000000,0.006093
1000000,4,9668672446668,1328.000000,0.001330
10000000,4,8445555014452,38828.000000,0.038830
10000000,4,8445555014452,43544.000000,0.043546
10000000,4,8445555014452,13495.000000,0.013494
