cantidadElementos,microsegundosEjec,segundosEjec
1000,3,6026.000000,0.006028
1000,3,3753.000000,0.003755
1000,3,3494.000000,0.003495
5000,3,45129.000000,0.045124
5000,3,36203.000000,0.036206
5000,3,37727.000000,0.037722
10000,3,73575.000000,0.073571
10000,3,122328.000000,0.122326
10000,3,92624.000000,0.092618
50000,3,1757969.000000,1.757959
50000,3,1802741.000000,1.802706
50000,3,1844670.000000,1.844631
100000,3,7544897.000000,7.544806
100000,3,8690327.000000,8.690242
100000,3,9748653.000000,9.748570
200000,3,39293750.000000,39.293440
200000,3,39270805.000000,39.270517
200000,3,39115282.000000,39.114942
300000,3,88957395.000000,88.956603
300000,3,88879334.000000,88.878779
300000,3,88165707.000000,88.164986
400000,3,157025409.000000,157.024106
400000,3,157176877.000000,157.175686
400000,3,157625351.000000,157.624351
500000,3,246574170.000000,246.572285
500000,3,246097865.000000,246.096184
500000,3,246481220.000000,246.479210
1000000,3,1009601487.000000,1009.590680
1000000,3,1010076867.000000,1010.066039
1000000,3,1008221157.000000,1008.208306
