cantidadElementos,microsegundosEjec,segundosEjec
1000,3951.000000,0.003954
1000,4610.000000,0.004613
1000,3802.000000,0.003805
5000,73808.000000,0.073806
5000,51685.000000,0.051686
5000,51715.000000,0.051716
10000,209905.000000,0.209903
10000,206988.000000,0.206987
10000,209954.000000,0.209957
50000,5102383.000000,5.102384
50000,5078783.000000,5.078739
50000,5096054.000000,5.096054
100000,20367446.000000,20.367282
100000,21000928.000000,21.000785
100000,20704931.000000,20.704754
200000,84019764.000000,84.019834
200000,84005953.000000,84.005316
200000,84170135.000000,84.170161
300000,189405222.000000,189.403733
300000,189773309.000000,189.773552
300000,189359130.000000,189.357643
400000,337243479.000000,337.243994
400000,336733864.000000,336.731113
400000,336854285.000000,336.851534
500000,528691660.000000,528.689974
500000,526901511.000000,526.902429
500000,528768989.000000,528.767046
1000000,2107027945.000000,2107.011799
1000000,2114160489.000000,2114.152604
1000000,2104145678.000000,2104.129956
